Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
17271,10438,21.440942,50.299128,PM10,28.9467,2024-01-28_21:00:00
17272,10438,21.440942,50.299128,PM2.5,26.2514,2024-01-28_21:00:00
17270,10438,21.440942,50.299128,C6H6,1.85796,2024-01-28_21:00:00
19716,11174,23.216322,53.144122,SO2,10.4,2024-01-28_21:00:00
25908,11174,23.216322,53.144122,PM10,34.5,2024-01-28_21:00:00
25909,11174,23.216322,53.144122,PM2.5,33.3,2024-01-28_21:00:00
4045,612,23.642153,53.215492,SO2,0.0,2024-01-28_21:00:00
19657,612,23.642153,53.215492,PM10,9.2,2024-01-28_21:00:00
19696,612,23.642153,53.215492,PM2.5,8.8,2024-01-28_21:00:00
4082,618,22.054381,53.181394,SO2,3.9,2024-01-28_21:00:00
4079,618,22.054381,53.181394,PM10,62.3,2024-01-28_21:00:00
4707,731,18.657497,54.400833,SO2,7.10931,2024-01-28_20:00:00
4706,731,18.657497,54.400833,PM10,16.029,2024-01-28_20:00:00
27667,731,18.657497,54.400833,PM2.5,13.4604,2024-01-28_20:00:00
4717,732,18.493331,54.560836,SO2,3.64416,2024-01-28_20:00:00
4715,732,18.493331,54.560836,PM10,30.0853,2024-01-28_20:00:00
27567,732,18.493331,54.560836,PM2.5,29.0785,2024-01-28_20:00:00
4764,736,18.620274,54.380279,SO2,2.08414,2024-01-28_20:00:00
4761,736,18.620274,54.380279,PM10,18.5347,2024-01-28_20:00:00
4762,736,18.620274,54.380279,PM2.5,17.3391,2024-01-28_20:00:00
28378,736,18.620274,54.380279,C6H6,0.3384,2024-01-28_20:00:00
4755,736,18.620274,54.380279,CO,326.823,2024-01-28_20:00:00
4758,736,18.620274,54.380279,NO2,20.2204,2024-01-28_20:00:00
4848,741,19.032899,54.031247,SO2,2.69641,2024-01-28_21:00:00
4845,741,19.032899,54.031247,PM10,22.2563,2024-01-28_20:00:00
4898,743,18.182972,54.104111,SO2,3.63238,2024-01-28_21:00:00
3026,437,19.830422,49.971047,SO2,0.19612,2024-01-28_18:00:00
3023,437,19.830422,49.971047,PM10,42.0365,2024-01-28_20:00:00
3058,443,21.116833,49.633714,SO2,0.92952,2024-01-28_21:00:00
21453,443,21.116833,49.633714,PM10,29.8845,2024-01-28_20:00:00
3127,449,19.477464,50.159406,SO2,12.5419,2024-01-28_21:00:00
3123,449,19.477464,50.159406,PM10,19.7521,2024-01-28_20:00:00
27834,16894,20.034878,49.476675,SO2,8.06775,2024-01-28_21:00:00
27835,16894,20.034878,49.476675,PM10,40.3214,2024-01-28_20:00:00
20411,10955,20.906073,52.207742,SO2,3.4,2024-01-28_21:00:00
18200,10955,20.906073,52.207742,PM10,42.1,2024-01-28_21:00:00
18201,10955,20.906073,52.207742,PM2.5,32.2,2024-01-28_21:00:00
3418,497,19.687672,52.556279,SO2,3.6,2024-01-28_21:00:00
3434,501,19.709791,52.550938,SO2,0.75,2024-01-28_21:00:00
3429,501,19.709791,52.550938,PM10,20.6,2024-01-28_21:00:00
14376,501,19.709791,52.550938,PM2.5,16.5,2024-01-28_21:00:00
3419,501,19.709791,52.550938,C6H6,1.4,2024-01-28_21:00:00
3420,501,19.709791,52.550938,CO,531.0,2024-01-28_21:00:00
3425,501,19.709791,52.550938,NO2,13.8,2024-01-28_21:00:00
